models,test_synth,test_real_nominal,test_real_edge,test_real,test,param,flops,delay,fps
iou_yolov8n_NWD_640_640,0.705,0.518,0.334,0.487,0.607,3.011,8.194,7.905,136.0
iou_yolov8n_EIoU_640_640,0.757,0.572,0.338,0.532,0.658,3.011,8.194,7.96,132.4
iou_yolov8n_WIoU_640_640,0.742,0.577,0.343,0.538,0.652,3.011,8.194,7.857,135.5
iou_yolov8n_ShapeIoU_640_640,0.761,0.581,0.369,0.545,0.666,3.011,8.194,7.578,140.8
base_yolov8n_640_640,0.754,0.586,0.348,0.545,0.662,3.011,8.194,7.756,135.0
iou_yolov8n_MDPIoU1_640_640,0.746,0.589,0.357,0.549,0.66,3.011,8.194,7.485,139.5
iou_yolov8n_GIoU_640_640,0.765,0.588,0.371,0.551,0.671,3.011,8.194,7.494,141.3
iou_yolov8n_MDPIoU2_640_640,0.759,0.593,0.38,0.557,0.668,3.011,8.194,7.384,142.6
iou_yolov8n_DIoU_640_640,0.765,0.594,0.383,0.558,0.669,3.011,8.194,7.924,132.6
iou_yolov8n_SIoU_640_640,0.761,0.601,0.382,0.563,0.674,3.011,8.194,8.07,130.3
