metrics,test_synth,test_real_nominal,test_real_edge
"AP (IoU=0.50:0.95, area=all, maxDets=100)",0.759,0.606,0.381
"AP (IoU=0.50, area=all, maxDets=100)",0.968,0.854,0.589
"AP (IoU=0.75, area=all, maxDets=100)",0.862,0.668,0.421
"AP (IoU=0.50:0.95, area=small, maxDets=100)",-1.000,0.195,0.125
"AP (IoU=0.50:0.95, area=medium, maxDets=100)",0.615,0.481,0.290
"AP (IoU=0.50:0.95, area=large, maxDets=100)",0.822,0.804,0.477
"AR (IoU=0.50:0.95, area=all, maxDets=1)",0.788,0.627,0.404
"AR (IoU=0.50:0.95, area=all, maxDets=10)",0.791,0.635,0.415
"AR (IoU=0.50:0.95, area=all, maxDets=100)",0.791,0.635,0.415
"AR (IoU=0.50:0.95, area=small, maxDets=100)",-1.000,0.235,0.153
"AR (IoU=0.50:0.95, area=medium, maxDets=100)",0.671,0.530,0.331
"AR (IoU=0.50:0.95, area=large, maxDets=100)",0.852,0.831,0.511
Average inference time (ms),7.452,6.737,6.731
FPS,134.193,148.439,148.575
